file,score_column,n,auroc,auprc,f1_macro,f1_macro_default_threshold,balanced_accuracy,precision,recall_msi_h,specificity,brier_score,best_threshold,predicted_positive_rate,true_positive_rate,tp,fp,tn,fn
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_1/00000-run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_1/predictions.parquet,y_pred1,18,0.9870129870129871,0.9924242424242424,0.9428571428571428,0.8831168831168831,0.9545454545454546,1.0,0.9090909090909091,1.0,0.052304183957484804,0.7406060099601746,0.5555555555555556,0.6111111111111112,10,0,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_10/00000-run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_10/predictions.parquet,y_pred1,18,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,1.0,1.0,0.041633872845426495,0.8296549916267395,0.5555555555555556,0.5555555555555556,10,0,8,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_2/00000-run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_2/predictions.parquet,y_pred1,18,0.8051948051948052,0.8755706414797324,0.7662337662337663,0.625,0.7662337662337663,0.8181818181818182,0.8181818181818182,0.7142857142857143,0.17200164108097743,0.6231449842453003,0.6111111111111112,0.6111111111111112,9,2,5,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_3/00000-run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_3/predictions.parquet,y_pred1,17,0.9857142857142858,0.9909090909090909,0.9403508771929825,0.9403508771929825,0.95,1.0,0.9,1.0,0.06725477197246978,0.2049739956855774,0.5294117647058824,0.5882352941176471,9,0,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_4/00000-run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_4/predictions.parquet,y_pred1,18,0.8571428571428572,0.9029626938717847,0.8193979933110368,0.7142857142857142,0.8116883116883117,0.8333333333333334,0.9090909090909091,0.7142857142857143,0.16101932876812075,0.283829003572464,0.6666666666666666,0.6111111111111112,10,2,5,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_5/00000-run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_5/predictions.parquet,y_pred1,18,0.948051948051948,0.9708624708624709,0.8875,0.875,0.9090909090909092,1.0,0.8181818181818182,1.0,0.07286262428269494,0.6872389912605286,0.5,0.6111111111111112,9,0,7,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_6/00000-run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_6/predictions.parquet,y_pred1,18,0.9350649350649352,0.9536042240587695,0.939799331103679,0.939799331103679,0.9285714285714286,0.9166666666666666,1.0,0.8571428571428571,0.06669730125096235,0.5,0.6666666666666666,0.6111111111111112,11,1,6,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_7/00000-run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_7/predictions.parquet,y_pred1,18,0.975,0.9833333333333333,0.9442724458204335,0.8875,0.95,1.0,0.9,1.0,0.0675300894510499,0.5789750218391418,0.5,0.5555555555555556,9,0,8,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_8/00000-run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_8/predictions.parquet,y_pred1,18,0.775,0.7126911976911977,0.8831168831168831,0.8285714285714285,0.875,0.8333333333333334,1.0,0.75,0.16127161836632634,0.4357979893684387,0.6666666666666666,0.5555555555555556,10,2,6,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_9/00000-run-69fb62874c_run-69fb62874c_a1_approach1-conchv1.5_transmil_repeat_1_fold_9/predictions.parquet,y_pred1,18,0.975,0.9809090909090908,0.9428571428571428,0.8875,0.9375,0.9090909090909091,1.0,0.875,0.06867302834857124,0.19504299759864807,0.6111111111111112,0.5555555555555556,10,1,7,0
