file,score_column,n,auroc,auprc,f1_macro,f1_macro_default_threshold,balanced_accuracy,precision,recall_msi_h,specificity,brier_score,best_threshold,predicted_positive_rate,true_positive_rate,tp,fp,tn,fn
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_1/00000-run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_1/predictions.parquet,y_pred1,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016357001866422523,0.09074600040912628,0.6111111111111112,0.6111111111111112,11,0,7,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_10/00000-run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_10/predictions.parquet,y_pred1,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011799166940400172,0.44164299964904785,0.5555555555555556,0.5555555555555556,10,0,8,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_2/00000-run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_2/predictions.parquet,y_pred1,18,0.8961038961038961,0.9430115339206249,0.8328173374613003,0.775,0.8636363636363636,1.0,0.7272727272727273,1.0,0.1239943698901272,0.8824740052223206,0.4444444444444444,0.6111111111111112,8,0,7,3
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_3/00000-run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_3/predictions.parquet,y_pred1,17,0.9285714285714286,0.9430122655122654,0.8785714285714286,0.8785714285714286,0.8785714285714286,0.9,0.9,0.8571428571428571,0.12426563867422707,0.18546800315380096,0.5882352941176471,0.5882352941176471,9,1,6,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_4/00000-run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_4/predictions.parquet,y_pred1,18,0.883116883116883,0.9273743932834844,0.8193979933110368,0.8193979933110368,0.8116883116883117,0.8333333333333334,0.9090909090909091,0.7142857142857143,0.1454052904122675,0.5,0.6666666666666666,0.6111111111111112,10,2,5,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_5/00000-run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_5/predictions.parquet,y_pred1,18,1.0,1.0,1.0,0.939799331103679,1.0,1.0,1.0,1.0,0.02876071446408429,0.5573840141296387,0.6111111111111112,0.6111111111111112,11,0,7,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_6/00000-run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_6/predictions.parquet,y_pred1,18,0.9350649350649352,0.9536042240587695,0.939799331103679,0.939799331103679,0.9285714285714286,0.9166666666666666,1.0,0.8571428571428571,0.06757685551992997,0.1589049994945526,0.6666666666666666,0.6111111111111112,11,1,6,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_7/00000-run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_7/predictions.parquet,y_pred1,18,0.9875,0.9909090909090909,0.9442724458204335,0.9442724458204335,0.95,1.0,0.9,1.0,0.05125969785448689,0.5,0.5,0.5555555555555556,9,0,8,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_8/00000-run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_8/predictions.parquet,y_pred1,18,0.9875,0.9909090909090909,0.9442724458204335,0.9428571428571428,0.95,1.0,0.9,1.0,0.0653589445743778,0.913241982460022,0.5,0.5555555555555556,9,0,8,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_9/00000-run-69fb62874c_run-69fb62874c_a3_approach3-prov-gigapath_transmil_repeat_1_fold_9/predictions.parquet,y_pred1,18,0.9375,0.9430122655122655,0.9428571428571428,0.9428571428571428,0.9375,0.9090909090909091,1.0,0.875,0.0698005782984767,0.5,0.6111111111111112,0.5555555555555556,10,1,7,0
