file,score_column,n,auroc,auprc,f1_macro,f1_macro_default_threshold,balanced_accuracy,precision,recall_msi_h,specificity,brier_score,best_threshold,predicted_positive_rate,true_positive_rate,tp,fp,tn,fn
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_1/00000-run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_1/predictions.parquet,y_pred1,18,0.922077922077922,0.9516705516705517,0.8285714285714285,0.7662337662337663,0.8376623376623377,0.9,0.8181818181818182,0.8571428571428571,0.12694138833550203,0.7258120179176331,0.5555555555555556,0.6111111111111112,9,1,6,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_10/00000-run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_10/predictions.parquet,y_pred1,18,1.0,1.0,1.0,0.9442724458204335,1.0,1.0,1.0,1.0,0.021205388082838474,0.12874600291252136,0.5555555555555556,0.5555555555555556,10,0,8,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_2/00000-run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_2/predictions.parquet,y_pred1,18,0.8961038961038961,0.9328688987779898,0.875,0.7662337662337663,0.8571428571428572,0.8461538461538461,1.0,0.7142857142857143,0.12180814148130767,0.3915970027446747,0.7222222222222222,0.6111111111111112,11,2,5,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_3/00000-run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_3/predictions.parquet,y_pred1,17,0.9571428571428572,0.9697979797979798,0.9377289377289377,0.7638888888888888,0.9285714285714286,0.9090909090909091,1.0,0.8571428571428571,0.09202449839046417,0.09431199729442596,0.6470588235294118,0.5882352941176471,10,1,6,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_4/00000-run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_4/predictions.parquet,y_pred1,18,0.8441558441558441,0.9046276955367865,0.8036363636363637,0.7142857142857142,0.7857142857142857,0.7857142857142857,1.0,0.5714285714285714,0.16614695174279948,0.26853400468826294,0.7777777777777778,0.6111111111111112,11,3,4,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_5/00000-run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_5/predictions.parquet,y_pred1,18,0.9610389610389611,0.9750688705234161,0.939799331103679,0.8285714285714285,0.9285714285714286,0.9166666666666666,1.0,0.8571428571428571,0.09312500609448586,0.372435986995697,0.6666666666666666,0.6111111111111112,11,1,6,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_6/00000-run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_6/predictions.parquet,y_pred1,18,0.9090909090909092,0.9254656959202414,0.8831168831168831,0.875,0.8831168831168831,0.9090909090909091,0.9090909090909091,0.8571428571428571,0.08225142637119287,0.7958019971847534,0.6111111111111112,0.6111111111111112,10,1,6,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_7/00000-run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_7/predictions.parquet,y_pred1,18,0.9625,0.9769230769230769,0.9442724458204335,0.9442724458204335,0.95,1.0,0.9,1.0,0.05690532092947709,0.206278994679451,0.5,0.5555555555555556,9,0,8,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_8/00000-run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_8/predictions.parquet,y_pred1,18,0.95,0.9669230769230769,0.8875,0.8875,0.8875,0.9,0.9,0.875,0.1112710158626175,0.48534199595451355,0.5555555555555556,0.5555555555555556,9,1,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_9/00000-run-69fb62874c_run-69fb62874c_a4_approach4-prism_transmil_repeat_1_fold_9/predictions.parquet,y_pred1,18,1.0,1.0,0.9442724458204335,0.9442724458204335,0.95,1.0,0.9,1.0,0.04981123353010931,0.17627400159835815,0.5,0.5555555555555556,9,0,8,1
