file,score_column,n,auroc,auprc,f1_macro,f1_macro_default_threshold,balanced_accuracy,precision,recall_msi_h,specificity,brier_score,best_threshold,predicted_positive_rate,true_positive_rate,tp,fp,tn,fn
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_1/00000-run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_1/predictions.parquet,y_pred1,18,0.9870129870129871,0.9924242424242424,0.9428571428571428,0.8831168831168831,0.9545454545454546,1.0,0.9090909090909091,1.0,0.05200384580412862,0.577904999256134,0.5555555555555556,0.6111111111111112,10,0,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_10/00000-run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_10/predictions.parquet,y_pred1,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012818370771168917,0.14611400663852692,0.5555555555555556,0.5555555555555556,10,0,8,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_2/00000-run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_2/predictions.parquet,y_pred1,18,0.8051948051948052,0.8873598623598624,0.7230769230769231,0.6727272727272727,0.7142857142857143,0.7333333333333333,1.0,0.42857142857142855,0.1612211937471969,0.16322000324726105,0.8333333333333334,0.6111111111111112,11,4,3,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_3/00000-run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_3/predictions.parquet,y_pred1,17,0.9428571428571428,0.9622222222222222,0.8785714285714286,0.7638888888888888,0.8785714285714286,0.9,0.9,0.8571428571428571,0.12865403362086092,0.28758901357650757,0.5882352941176471,0.5882352941176471,9,1,6,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_4/00000-run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_4/predictions.parquet,y_pred1,18,0.8571428571428572,0.9029626938717847,0.875,0.8193979933110368,0.8571428571428572,0.8461538461538461,1.0,0.7142857142857143,0.12453697834712174,0.3139039874076843,0.7222222222222222,0.6111111111111112,11,2,5,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_5/00000-run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_5/predictions.parquet,y_pred1,18,0.9740259740259741,0.9841597796143251,0.939799331103679,0.875,0.9285714285714286,0.9166666666666666,1.0,0.8571428571428571,0.07432037349202145,0.665427029132843,0.6666666666666666,0.6111111111111112,11,1,6,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_6/00000-run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_6/predictions.parquet,y_pred1,18,0.974025974025974,0.986013986013986,0.9428571428571428,0.9428571428571428,0.9545454545454546,1.0,0.9090909090909091,1.0,0.04988856431794894,0.48648199439048767,0.5555555555555556,0.6111111111111112,10,0,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_7/00000-run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_7/predictions.parquet,y_pred1,18,0.9625,0.9769230769230769,0.9442724458204335,0.9442724458204335,0.95,1.0,0.9,1.0,0.06738051919146597,0.5,0.5,0.5555555555555556,9,0,8,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_8/00000-run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_8/predictions.parquet,y_pred1,18,0.8375,0.8136435786435786,0.8285714285714285,0.8285714285714285,0.825,0.8181818181818182,0.9,0.75,0.14045665561035714,0.426488995552063,0.6111111111111112,0.5555555555555556,9,2,6,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-69fb62874c/slideflow_project/mil/run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_9/00000-run-69fb62874c_run-69fb62874c_a6_approach6-dinov3_transmil_repeat_1_fold_9/predictions.parquet,y_pred1,18,0.975,0.9809090909090908,0.9428571428571428,0.9428571428571428,0.9375,0.9090909090909091,1.0,0.875,0.06569781176234119,0.5,0.6111111111111112,0.5555555555555556,10,1,7,0
