file,score_column,n,auroc,auprc,f1_macro,f1_macro_default_threshold,balanced_accuracy,precision,recall_msi_h,specificity,brier_score,best_threshold,predicted_positive_rate,true_positive_rate,tp,fp,tn,fn
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_1/00000-run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_1/predictions.parquet,y_pred1,20,0.9560439560439561,0.9751850713389172,0.9430199430199431,0.8809523809523809,0.9285714285714286,0.9285714285714286,1.0,0.8571428571428571,0.08038008494329354,0.5066230297088623,0.7,0.65,13,1,6,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_10/00000-run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_10/predictions.parquet,y_pred1,20,1.0,1.0,0.948849104859335,0.9466666666666667,0.9583333333333333,1.0,0.9166666666666666,1.0,0.030846506915566497,0.6921240091323853,0.55,0.6,11,0,8,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_2/00000-run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_2/predictions.parquet,y_pred1,20,0.9670329670329672,0.9821780783319243,0.8901098901098901,0.8400000000000001,0.8901098901098901,0.9230769230769231,0.9230769230769231,0.8571428571428571,0.10105114516001486,0.1596599966287613,0.65,0.65,12,1,6,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_3/00000-run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_3/predictions.parquet,y_pred1,19,0.9642857142857143,0.9811507936507937,0.8920454545454546,0.8869047619047619,0.9166666666666667,1.0,0.8333333333333334,1.0,0.08243812926488715,0.8623800277709961,0.5263157894736842,0.631578947368421,10,0,7,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_4/00000-run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_4/predictions.parquet,y_pred1,20,1.0,0.9999999999999998,0.9466666666666667,0.8465473145780051,0.9615384615384616,1.0,0.9230769230769231,1.0,0.08399697598747105,0.16580000519752502,0.6,0.65,12,0,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_5/00000-run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_5/predictions.parquet,y_pred1,20,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.014131443028632024,0.28519999980926514,0.65,0.65,13,0,7,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_6/00000-run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_6/predictions.parquet,y_pred1,20,0.9670329670329672,0.9821780783319243,0.8901098901098901,0.8901098901098901,0.8901098901098901,0.9230769230769231,0.9230769230769231,0.8571428571428571,0.07833977859664974,0.16912800073623657,0.65,0.65,12,1,6,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_7/00000-run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_7/predictions.parquet,y_pred1,20,0.8958333333333333,0.937912087912088,0.829059829059829,0.7802197802197802,0.8125,0.8,1.0,0.625,0.1198527101762152,0.13853700459003448,0.75,0.6,12,3,5,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_8/00000-run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_8/predictions.parquet,y_pred1,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005134993212249775,0.17136099934577942,0.6,0.6,12,0,8,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_9/00000-run-8635c038adcc_run-8635c038adcc_a5_approach5-h-optimus-0_transmil_repeat_1_fold_9/predictions.parquet,y_pred1,20,0.9895833333333334,0.9935897435897437,0.948849104859335,0.9466666666666667,0.9583333333333333,1.0,0.9166666666666666,1.0,0.03908869631831092,0.7869910001754761,0.55,0.6,11,0,8,1
