file,score_column,n,auroc,auprc,f1_macro,f1_macro_default_threshold,balanced_accuracy,precision,recall_msi_h,specificity,brier_score,best_threshold,predicted_positive_rate,true_positive_rate,tp,fp,tn,fn
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_1/00000-run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_1/predictions.parquet,y_pred1,20,0.9780219780219781,0.9897435897435896,0.9466666666666667,0.829059829059829,0.9615384615384616,1.0,0.9230769230769231,1.0,0.07307186515564806,0.7796819806098938,0.6,0.65,12,0,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_10/00000-run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_10/predictions.parquet,y_pred1,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004777661053717907,0.30786800384521484,0.6,0.6,12,0,8,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_2/00000-run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_2/predictions.parquet,y_pred1,20,0.9780219780219781,0.9897435897435896,0.9466666666666667,0.8465473145780051,0.9615384615384616,1.0,0.9230769230769231,1.0,0.0998444446589926,0.22419899702072144,0.6,0.65,12,0,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_3/00000-run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_3/predictions.parquet,y_pred1,19,0.9523809523809523,0.976388888888889,0.8869047619047619,0.8869047619047619,0.8869047619047619,0.9166666666666666,0.9166666666666666,0.8571428571428571,0.08618477340225453,0.5,0.631578947368421,0.631578947368421,11,1,6,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_4/00000-run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_4/predictions.parquet,y_pred1,20,0.989010989010989,0.9945054945054943,0.9466666666666667,0.9466666666666667,0.9615384615384616,1.0,0.9230769230769231,1.0,0.06523178940188361,0.14111100137233734,0.6,0.65,12,0,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_5/00000-run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_5/predictions.parquet,y_pred1,20,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.003990444340298826,0.5,0.65,0.65,13,0,7,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_6/00000-run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_6/predictions.parquet,y_pred1,20,0.9670329670329672,0.9821780783319243,0.9430199430199431,0.8400000000000001,0.9285714285714286,0.9285714285714286,1.0,0.8571428571428571,0.09984369663401592,0.15004900097846985,0.7,0.65,13,1,6,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_7/00000-run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_7/predictions.parquet,y_pred1,20,0.8645833333333333,0.9094546657046657,0.8465473145780051,0.6703296703296704,0.8541666666666667,0.9090909090909091,0.8333333333333334,0.875,0.14060961570174307,0.6503819823265076,0.55,0.6,10,1,7,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_8/00000-run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_8/predictions.parquet,y_pred1,20,1.0,1.0,1.0,0.948849104859335,1.0,1.0,1.0,1.0,0.03569506700135004,0.06311000138521194,0.6,0.6,12,0,8,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_9/00000-run-8635c038adcc_run-8635c038adcc_a1_approach1-uni2-h_transmil_repeat_1_fold_9/predictions.parquet,y_pred1,20,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,1.0,0.040241156101971855,0.774495005607605,0.6,0.6,12,0,8,0
