file,score_column,n,auroc,auprc,f1_macro,f1_macro_default_threshold,balanced_accuracy,precision,recall_msi_h,specificity,brier_score,best_threshold,predicted_positive_rate,true_positive_rate,tp,fp,tn,fn
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_1/00000-run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_1/predictions.parquet,y_pred1,20,0.956043956043956,0.9787545787545786,0.8958333333333333,0.8400000000000001,0.9230769230769231,1.0,0.8461538461538461,1.0,0.09056187423692963,0.5557270050048828,0.55,0.65,11,0,7,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_10/00000-run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_10/predictions.parquet,y_pred1,20,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,1.0,0.0168337270303172,0.5533810257911682,0.6,0.6,12,0,8,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_2/00000-run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_2/predictions.parquet,y_pred1,20,0.8351648351648352,0.9244053834551571,0.7493734335839599,0.7442455242966752,0.8076923076923077,1.0,0.6153846153846154,1.0,0.1628309584905034,0.6542879939079285,0.4,0.65,8,0,7,5
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_3/00000-run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_3/predictions.parquet,y_pred1,19,0.75,0.822953897953898,0.7738095238095238,0.6274509803921569,0.7738095238095238,0.8333333333333334,0.8333333333333334,0.7142857142857143,0.22162697705113854,0.36208999156951904,0.631578947368421,0.631578947368421,10,2,5,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_4/00000-run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_4/predictions.parquet,y_pred1,20,0.8791208791208791,0.9408882783882782,0.8119122257053292,0.7333333333333334,0.7857142857142857,0.8125,1.0,0.5714285714285714,0.13082664915265035,0.3676219880580902,0.8,0.65,13,3,4,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_5/00000-run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_5/predictions.parquet,y_pred1,20,0.9120879120879121,0.9540997464074386,0.8809523809523809,0.6875,0.8571428571428572,0.8666666666666667,1.0,0.7142857142857143,0.15695956648339981,0.17226800322532654,0.75,0.65,13,2,5,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_6/00000-run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_6/predictions.parquet,y_pred1,20,0.9230769230769231,0.9541838503376963,0.8901098901098901,0.6491228070175439,0.8901098901098901,0.9230769230769231,0.9230769230769231,0.8571428571428571,0.2054210584099571,0.17464999854564667,0.65,0.65,12,1,6,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_7/00000-run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_7/predictions.parquet,y_pred1,20,0.7395833333333334,0.8375083250083252,0.7619047619047619,0.6491228070175439,0.75,0.75,1.0,0.5,0.22843264563805493,0.08833300322294235,0.8,0.6,12,4,4,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_8/00000-run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_8/predictions.parquet,y_pred1,20,0.9583333333333334,0.9707362082362082,0.9466666666666667,0.8465473145780051,0.9375,0.9230769230769231,1.0,0.875,0.09532940846571179,0.1512109935283661,0.65,0.6,12,1,7,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_9/00000-run-8635c038adcc_run-8635c038adcc_a10_approach10-retccl_transmil_repeat_1_fold_9/predictions.parquet,y_pred1,20,0.8958333333333334,0.8877666315166315,0.9466666666666667,0.9466666666666667,0.9375,0.9230769230769231,1.0,0.875,0.06369100769825325,0.5,0.65,0.6,12,1,7,0
