file,score_column,n,auroc,auprc,f1_macro,f1_macro_default_threshold,balanced_accuracy,precision,recall_msi_h,specificity,brier_score,best_threshold,predicted_positive_rate,true_positive_rate,tp,fp,tn,fn
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_1/00000-run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_1/predictions.parquet,y_pred1,20,0.9780219780219781,0.9897435897435896,0.8958333333333333,0.8901098901098901,0.9230769230769231,1.0,0.8461538461538461,1.0,0.06344018459761862,0.6899759769439697,0.55,0.65,11,0,7,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_10/00000-run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_10/predictions.parquet,y_pred1,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006109964736389316,0.5,0.6,0.6,12,0,8,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_2/00000-run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_2/predictions.parquet,y_pred1,20,1.0,0.9999999999999998,1.0,0.9466666666666667,1.0,1.0,1.0,1.0,0.027562975584846154,0.1904519945383072,0.65,0.65,13,0,7,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_3/00000-run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_3/predictions.parquet,y_pred1,19,0.9404761904761905,0.9688131313131314,0.8869047619047619,0.8347826086956522,0.8869047619047619,0.9166666666666666,0.9166666666666666,0.8571428571428571,0.09991778775160551,0.43823400139808655,0.631578947368421,0.631578947368421,11,1,6,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_4/00000-run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_4/predictions.parquet,y_pred1,20,0.9780219780219781,0.9897435897435896,0.9466666666666667,0.8958333333333333,0.9615384615384616,1.0,0.9230769230769231,1.0,0.0796436382314557,0.24415899813175201,0.6,0.65,12,0,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_5/00000-run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_5/predictions.parquet,y_pred1,20,0.989010989010989,0.9945054945054943,0.9466666666666667,0.8901098901098901,0.9615384615384616,1.0,0.9230769230769231,1.0,0.04953184509237828,0.5551930069923401,0.6,0.65,12,0,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_6/00000-run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_6/predictions.parquet,y_pred1,20,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.015131055527076434,0.4769029915332794,0.65,0.65,13,0,7,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_7/00000-run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_7/predictions.parquet,y_pred1,20,0.9166666666666667,0.9515873015873016,0.849624060150376,0.829059829059829,0.875,1.0,0.75,1.0,0.119456039100072,0.8615210056304932,0.45,0.6,9,0,8,3
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_8/00000-run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_8/predictions.parquet,y_pred1,20,0.9895833333333334,0.9935897435897437,0.948849104859335,0.948849104859335,0.9583333333333333,1.0,0.9166666666666666,1.0,0.039043665246993244,0.5,0.55,0.6,11,0,8,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_9/00000-run-8635c038adcc_run-8635c038adcc_a2_approach2-virchow2_transmil_repeat_1_fold_9/predictions.parquet,y_pred1,20,0.9791666666666666,0.9866452991452993,0.9466666666666667,0.9466666666666667,0.9375,0.9230769230769231,1.0,0.875,0.04650403964630473,0.5,0.65,0.6,12,1,7,0
