file,score_column,n,auroc,auprc,f1_macro,f1_macro_default_threshold,balanced_accuracy,precision,recall_msi_h,specificity,brier_score,best_threshold,predicted_positive_rate,true_positive_rate,tp,fp,tn,fn
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_1/00000-run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_1/predictions.parquet,y_pred1,20,0.967032967032967,0.9838264299802759,0.8901098901098901,0.8901098901098901,0.8901098901098901,0.9230769230769231,0.9230769230769231,0.8571428571428571,0.07931639241288531,0.5,0.65,0.65,12,1,6,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_10/00000-run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_10/predictions.parquet,y_pred1,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006597131917430088,0.2551569938659668,0.6,0.6,12,0,8,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_2/00000-run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_2/predictions.parquet,y_pred1,20,0.8571428571428571,0.9395245277598216,0.8465473145780051,0.6703296703296704,0.8846153846153846,1.0,0.7692307692307693,1.0,0.1459697313311799,0.6764339804649353,0.5,0.65,10,0,7,3
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_3/00000-run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_3/predictions.parquet,y_pred1,19,0.9166666666666667,0.9587703962703963,0.8347826086956522,0.8347826086956522,0.8452380952380952,0.9090909090909091,0.8333333333333334,0.8571428571428571,0.11798493982367493,0.5,0.5789473684210527,0.631578947368421,10,1,6,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_4/00000-run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_4/predictions.parquet,y_pred1,20,1.0,0.9999999999999998,0.9466666666666667,0.8465473145780051,0.9615384615384616,1.0,0.9230769230769231,1.0,0.10359287917376254,0.07724600285291672,0.6,0.65,12,0,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_5/00000-run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_5/predictions.parquet,y_pred1,20,0.9010989010989011,0.9255208466746927,0.8901098901098901,0.8901098901098901,0.8901098901098901,0.9230769230769231,0.9230769230769231,0.8571428571428571,0.08366558291045637,0.1542380005121231,0.65,0.65,12,1,6,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_6/00000-run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_6/predictions.parquet,y_pred1,20,0.989010989010989,0.9945054945054943,0.9466666666666667,0.9466666666666667,0.9615384615384616,1.0,0.9230769230769231,1.0,0.050717320034464365,0.5,0.6,0.65,12,0,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_7/00000-run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_7/predictions.parquet,y_pred1,20,0.8958333333333334,0.9430555555555556,0.849624060150376,0.7333333333333334,0.875,1.0,0.75,1.0,0.1615508946142336,0.6553099751472473,0.45,0.6,9,0,8,3
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_8/00000-run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_8/predictions.parquet,y_pred1,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025391041770244722,0.5,0.6,0.6,12,0,8,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_9/00000-run-8635c038adcc_run-8635c038adcc_a4_approach4-conchv1.5_transmil_repeat_1_fold_9/predictions.parquet,y_pred1,20,0.9791666666666666,0.9866452991452993,0.898989898989899,0.8958333333333333,0.9166666666666667,1.0,0.8333333333333334,1.0,0.05424464863989327,0.7603170275688171,0.5,0.6,10,0,8,2
