file,score_column,n,auroc,auprc,f1_macro,f1_macro_default_threshold,balanced_accuracy,precision,recall_msi_h,specificity,brier_score,best_threshold,predicted_positive_rate,true_positive_rate,tp,fp,tn,fn
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_1/00000-run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_1/predictions.parquet,y_pred1,20,1.0,0.9999999999999998,1.0,0.9430199430199431,1.0,1.0,1.0,1.0,0.029641978121537634,0.7358250021934509,0.65,0.65,13,0,7,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_10/00000-run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_10/predictions.parquet,y_pred1,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002451314734663624,0.1838659942150116,0.6,0.6,12,0,8,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_2/00000-run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_2/predictions.parquet,y_pred1,20,0.9560439560439561,0.9774161735700195,0.8809523809523809,0.7916666666666667,0.8571428571428572,0.8666666666666667,1.0,0.7142857142857143,0.11135036278420489,0.024644000455737114,0.75,0.65,13,2,5,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_3/00000-run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_3/predictions.parquet,y_pred1,19,0.9166666666666666,0.9455657768157769,0.8869047619047619,0.8869047619047619,0.8869047619047619,0.9166666666666666,0.9166666666666666,0.8571428571428571,0.09296968270667527,0.28964701294898987,0.631578947368421,0.631578947368421,11,1,6,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_4/00000-run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_4/predictions.parquet,y_pred1,20,0.9340659340659341,0.9701923076923076,0.8958333333333333,0.8400000000000001,0.9230769230769231,1.0,0.8461538461538461,1.0,0.09962268267999437,0.5662170052528381,0.55,0.65,11,0,7,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_5/00000-run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_5/predictions.parquet,y_pred1,20,1.0,0.9999999999999998,1.0,0.9430199430199431,1.0,1.0,1.0,1.0,0.016844815248445298,0.9104530215263367,0.65,0.65,13,0,7,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_6/00000-run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_6/predictions.parquet,y_pred1,20,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.028689868075155896,0.5,0.65,0.65,13,0,7,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_7/00000-run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_7/predictions.parquet,y_pred1,20,0.90625,0.936975061975062,0.8901098901098901,0.8400000000000001,0.875,0.8571428571428571,1.0,0.75,0.10877191542488149,0.32013699412345886,0.7,0.6,12,2,6,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_8/00000-run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_8/predictions.parquet,y_pred1,20,1.0,1.0,1.0,0.948849104859335,1.0,1.0,1.0,1.0,0.03948171323452892,0.06989099830389023,0.6,0.6,12,0,8,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_9/00000-run-8635c038adcc_run-8635c038adcc_a6_approach6-midnight-12k_transmil_repeat_1_fold_9/predictions.parquet,y_pred1,20,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,1.0,0.023513420774263306,0.7749879956245422,0.6,0.6,12,0,8,0
