file,score_column,n,auroc,auprc,f1_macro,f1_macro_default_threshold,balanced_accuracy,precision,recall_msi_h,specificity,brier_score,best_threshold,predicted_positive_rate,true_positive_rate,tp,fp,tn,fn
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_1/00000-run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_1/predictions.parquet,y_pred1,20,0.8131868131868132,0.8717529265606188,0.8119122257053292,0.7802197802197802,0.7857142857142857,0.8125,1.0,0.5714285714285714,0.1447992125327165,0.30859899520874023,0.8,0.65,13,3,4,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_10/00000-run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_10/predictions.parquet,y_pred1,20,0.9583333333333333,0.973575036075036,0.8958333333333333,0.8958333333333333,0.8958333333333333,0.9166666666666666,0.9166666666666666,0.875,0.0919356574104285,0.5,0.6,0.6,11,1,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_2/00000-run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_2/predictions.parquet,y_pred1,20,0.7912087912087912,0.9058132828643664,0.7916666666666667,0.7333333333333334,0.8131868131868132,0.9090909090909091,0.7692307692307693,0.8571428571428571,0.18827147769404243,0.5079870223999023,0.55,0.65,10,1,6,3
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_3/00000-run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_3/predictions.parquet,y_pred1,19,0.8452380952380952,0.9119119306619307,0.8347826086956522,0.8347826086956522,0.8452380952380952,0.9090909090909091,0.8333333333333334,0.8571428571428571,0.14195759425224067,0.4439989924430847,0.5789473684210527,0.631578947368421,10,1,6,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_4/00000-run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_4/predictions.parquet,y_pred1,20,0.9120879120879121,0.9540997464074386,0.8809523809523809,0.829059829059829,0.8571428571428572,0.8666666666666667,1.0,0.7142857142857143,0.12476754117139555,0.26706498861312866,0.75,0.65,13,2,5,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_5/00000-run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_5/predictions.parquet,y_pred1,20,0.8351648351648352,0.8966460889537811,0.829059829059829,0.7802197802197802,0.8186813186813187,0.8571428571428571,0.9230769230769231,0.7142857142857143,0.14753507530380913,0.32579201459884644,0.7,0.65,12,2,5,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_6/00000-run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_6/predictions.parquet,y_pred1,20,0.8461538461538461,0.9086937635014556,0.8119122257053292,0.7442455242966752,0.7857142857142857,0.8125,1.0,0.5714285714285714,0.1552006372077795,0.2219579964876175,0.8,0.65,13,3,4,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_7/00000-run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_7/predictions.parquet,y_pred1,20,0.7395833333333334,0.7982896732896734,0.7442455242966752,0.7442455242966752,0.75,0.8181818181818182,0.75,0.75,0.19927683951361927,0.5,0.55,0.6,9,2,6,3
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_8/00000-run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_8/predictions.parquet,y_pred1,20,0.8229166666666667,0.8863365800865802,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.8333333333333334,0.8333333333333334,0.75,0.17758797864041723,0.4637250006198883,0.6,0.6,10,2,6,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_9/00000-run-8635c038adcc_run-8635c038adcc_a7_approach7-dinov2-large_transmil_repeat_1_fold_9/predictions.parquet,y_pred1,20,0.96875,0.9790695415695415,0.8958333333333333,0.829059829059829,0.8958333333333333,0.9166666666666666,0.9166666666666666,0.875,0.0913710315567984,0.6351169943809509,0.6,0.6,11,1,7,1
