file,score_column,n,auroc,auprc,f1_macro,f1_macro_default_threshold,balanced_accuracy,precision,recall_msi_h,specificity,brier_score,best_threshold,predicted_positive_rate,true_positive_rate,tp,fp,tn,fn
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_1/00000-run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_1/predictions.parquet,y_pred1,20,0.9780219780219781,0.9897435897435896,0.9466666666666667,0.8901098901098901,0.9615384615384616,1.0,0.9230769230769231,1.0,0.06764231326930625,0.5369639992713928,0.6,0.65,12,0,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_10/00000-run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_10/predictions.parquet,y_pred1,20,0.9895833333333334,0.9935897435897437,0.948849104859335,0.9466666666666667,0.9583333333333333,1.0,0.9166666666666666,1.0,0.048452311864315055,0.8195329904556274,0.55,0.6,11,0,8,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_2/00000-run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_2/predictions.parquet,y_pred1,20,0.868131868131868,0.9426047808400748,0.8400000000000001,0.7916666666666667,0.8516483516483516,0.9166666666666666,0.8461538461538461,0.8571428571428571,0.14574389404351712,0.409637987613678,0.6,0.65,11,1,6,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_3/00000-run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_3/predictions.parquet,y_pred1,19,0.8928571428571428,0.9487807943690297,0.8403361344537814,0.7246376811594203,0.875,1.0,0.75,1.0,0.1370285475280054,0.694350004196167,0.47368421052631576,0.631578947368421,9,0,7,3
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_4/00000-run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_4/predictions.parquet,y_pred1,20,1.0,0.9999999999999998,1.0,0.8465473145780051,1.0,1.0,1.0,1.0,0.09000873390782446,0.3346169888973236,0.65,0.65,13,0,7,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_5/00000-run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_5/predictions.parquet,y_pred1,20,0.989010989010989,0.9945054945054943,0.9466666666666667,0.9430199430199431,0.9615384615384616,1.0,0.9230769230769231,1.0,0.04319233875316848,0.8753949999809265,0.6,0.65,12,0,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_6/00000-run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_6/predictions.parquet,y_pred1,20,0.8791208791208791,0.9390234765234764,0.7916666666666667,0.7442455242966752,0.8131868131868132,0.9090909090909091,0.7692307692307693,0.8571428571428571,0.18199481674653917,0.3224729895591736,0.55,0.65,10,1,6,3
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_7/00000-run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_7/predictions.parquet,y_pred1,20,0.8333333333333334,0.8534662097162098,0.7802197802197802,0.696969696969697,0.7708333333333333,0.7857142857142857,0.9166666666666666,0.625,0.20235560784135168,0.16902600228786469,0.7,0.6,11,3,5,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_8/00000-run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_8/predictions.parquet,y_pred1,20,0.9791666666666666,0.9880952380952382,0.948849104859335,0.948849104859335,0.9583333333333333,1.0,0.9166666666666666,1.0,0.06606438184826599,0.48461800813674927,0.55,0.6,11,0,8,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_9/00000-run-8635c038adcc_run-8635c038adcc_a8_approach8-dinov3vit-b/16_transmil_repeat_1_fold_9/predictions.parquet,y_pred1,20,0.9583333333333334,0.9707362082362082,0.9466666666666667,0.9466666666666667,0.9375,0.9230769230769231,1.0,0.875,0.05606196997110611,0.21223300695419312,0.65,0.6,12,1,7,0
