file,score_column,n,auroc,auprc,f1_macro,f1_macro_default_threshold,balanced_accuracy,precision,recall_msi_h,specificity,brier_score,best_threshold,predicted_positive_rate,true_positive_rate,tp,fp,tn,fn
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_1/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_1/predictions.parquet,y_pred1,20,0.9780219780219781,0.9897435897435896,0.9466666666666667,0.8901098901098901,0.9615384615384616,1.0,0.9230769230769231,1.0,0.08506723086587678,0.5647240281105042,0.6,0.65,12,0,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_10/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_10/predictions.parquet,y_pred1,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005303723801288912,0.5,0.6,0.6,12,0,8,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_2/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_2/predictions.parquet,y_pred1,20,0.901098901098901,0.9449453324453323,0.8400000000000001,0.8400000000000001,0.8516483516483516,0.9166666666666666,0.8461538461538461,0.8571428571428571,0.12686055106433256,0.5,0.6,0.65,11,1,6,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_3/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_3/predictions.parquet,y_pred1,19,0.9404761904761905,0.9722222222222223,0.8920454545454546,0.8246153846153846,0.9166666666666667,1.0,0.8333333333333334,1.0,0.10122540248057331,0.7550569772720337,0.5263157894736842,0.631578947368421,10,0,7,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_4/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_4/predictions.parquet,y_pred1,20,0.9120879120879121,0.9626696832579182,0.8958333333333333,0.8958333333333333,0.9230769230769231,1.0,0.8461538461538461,1.0,0.1114962634765188,0.5,0.55,0.65,11,0,7,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_5/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_5/predictions.parquet,y_pred1,20,0.9450549450549451,0.9674927636466095,0.9430199430199431,0.8400000000000001,0.9285714285714286,0.9285714285714286,1.0,0.8571428571428571,0.09038037760913371,0.1444929987192154,0.7,0.65,13,1,6,0
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_6/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_6/predictions.parquet,y_pred1,20,0.945054945054945,0.9704231665770124,0.8901098901098901,0.8400000000000001,0.8901098901098901,0.9230769230769231,0.9230769230769231,0.8571428571428571,0.11586721335685124,0.2731409966945648,0.65,0.65,12,1,6,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_7/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_7/predictions.parquet,y_pred1,20,0.9270833333333333,0.9563131313131313,0.8465473145780051,0.7802197802197802,0.8541666666666667,0.9090909090909091,0.8333333333333334,0.875,0.11796499451522162,0.8802130222320557,0.55,0.6,10,1,7,2
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_8/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_8/predictions.parquet,y_pred1,20,0.9583333333333333,0.973575036075036,0.8958333333333333,0.8465473145780051,0.8958333333333333,0.9166666666666666,0.9166666666666666,0.875,0.08127212804612162,0.35489898920059204,0.6,0.6,11,1,7,1
/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_9/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_9/predictions.parquet,y_pred1,20,0.9791666666666666,0.9866452991452993,0.9466666666666667,0.9466666666666667,0.9375,0.9230769230769231,1.0,0.875,0.049500570469740345,0.5,0.65,0.6,12,1,7,0
